Query	Target	cosine_rescaled
tr|A0A0D1CKI0	tr|A0A0D1CKI0	0.9999999999999999
tr|A0A0D1CKI0	tr|A0A5B0N8H2	0.9345695765008631
tr|A0A0D1CKI0	NOFIND|Unavailable	0.9629452563898668
tr|A0A0D1CKI0	tr|A0A059UDR8	0.9642166718848488
tr|A0A0D1CKI0	tr|A0A0D1E5A8	0.9551193451540881
tr|A0A0D1CKI0	tr|G2X4U8	0.9624469703354168
tr|A0A0D1CKI0	tr|N1JJH4	0.940922060931001
tr|A0A0D1CKI0	NCBI|AEK86791.1	0.9448780683248358
tr|A0A0D1CKI0	tr|A0A0D1CH44	0.9352998111986885
tr|A0A0D1CKI0	tr|F9XMT4	0.9625435808078306
tr|A0A0D1CKI0	NCBI|AEK86951.1	0.9519348993608543
tr|A0A0D1CKI0	tr|A0A0A2JB06	0.9588751598224841
tr|A0A0D1CKI0	sp|A9JX75	0.9556650162092368
tr|A0A0D1CKI0	tr|N1PIZ7	0.9688713113085671
tr|A0A0D1CKI0	tr|P78737	0.9483230421546833
tr|A0A0D1CKI0	NCBI|EXK24251.1	0.9461716006599992
tr|A0A0D1CKI0	tr|N1J7E2	0.9473931741756575
tr|A0A0D1CKI0	sp|F4RBY2	0.9584689346168305
tr|A0A0D1CKI0	NCBI|AGE15681.1	0.9479919122346839
tr|A0A0D1CKI0	NCBI|AAS66949.1	0.9389536446442667
tr|A0A0D1CKI0	tr|G2XA95	0.9701151553174251
tr|A0A0D1CKI0	NCBI|AAA80239.2	0.9474399187277067
tr|A0A0D1CKI0	tr|N1JJE7	0.9523355191454399
tr|A0A0D1CKI0	tr|N1JN67	0.9415296704714071
tr|A0A0D1CKI0	tr|A0A0A2ILW0	0.9662613762929948
tr|A0A0D1CKI0	NCBI|AIW07468.1	0.9450406751553698
tr|A0A0D1CKI0	NCBI|ACY39289.1	0.9451973384706495
tr|A0A0D1CKI0	tr|N1JFE2	0.9386139364038252
tr|A0A0D1CKI0	tr|A0A0A2JY92	0.9629232263685896
tr|A0A0D1CKI0	tr|N1JPG4	0.9384422341306122
tr|A0A0D1CKI0	tr|A0A0A2JVC2	0.9682634571503579
tr|A0A0D1CKI0	tr|A0A0J9WTF1	0.9566735390815839
tr|A0A0D1CKI0	NCBI|XP_023455500.1	0.9656684336441083
tr|A0A0D1CKI0	tr|E3KHU8	0.935625993302255
tr|A0A0D1CKI0	tr|J5J7Y8	0.9581057571101912
tr|A0A0D1CKI0	NCBI|QSV27513.1	0.9388093942124226
tr|A0A0D1CKI0	tr|N1J9C5	0.9429615035520399
tr|A0A0D1CKI0	tr|A0A0D2YKQ0	0.9509367342804738
tr|A0A0D1CKI0	tr|A0A0J9WAR0	0.9478922618355932
tr|A0A0D1CKI0	tr|A0A0D1C5E3	0.9487374271170692
tr|A0A0D1CKI0	tr|A0A0D2YD41	0.9467280572729528
tr|A0A0D1CKI0	NCBI|ALQ80833.1	0.9413494199926873
tr|A0A0D1CKI0	NCBI|AGG54055.1	0.9548255546992842
tr|A0A0D1CKI0	tr|A0A5B0PKJ8	0.956117124280926
tr|A0A0D1CKI0	NCBI|AGG54052.1	0.9395814451630522
tr|A0A0D1CKI0	tr|I1S411	0.9615053661085412
tr|A0A0D1CKI0	tr|N1J9M0	0.9495575489176916
